,id,created_at,date,user_name,screen_name,Sentimen_Title,text,retweets,replies,likes,quotes
0,1973985957511852090,2025-10-03 5:38:21,2025-10-03,riskysaputra,riskysaptr,negatif,"Program MBG kacau sekali, distribusinya tidak jelas dan banyak yang tidak kebagian.",0,0,0,0
1,1973985957423849960,2025-10-03 5:38:21,2025-10-03,de_bungas,de_bungas,netral,Kepala BGN memastikan Program MBG tetap berjalan selama belum ada perintah penghentian dari Presiden Prabowo. BGN terus mengevaluasi sistem agar semakin baik.,0,0,0,0
2,1973985958489174156,2025-10-03 5:38:22,2025-10-03,Barry Fauzi,BarryFauzy,netral,Program MBG di   menunjukkan keselarasan antara isu kesehatan dan ekonomi masyarakat.,0,0,0,0
3,1973985963866272238,2025-10-03 5:38:23,2025-10-03,Adel Safira,adellsafiraa,netral,Program MBG mulai diterapkan di beberapa sekolah pada bulan ini,0,0,0,0
4,1973985970182906206,2025-10-03 5:38:24,2025-10-03,Jessica Lauza,jessicalauzaa,netral,"SPPG di   bukan hanya tempat distribusi makanan, tetapi juga pusat penggerak ekonomi.",0,0,0,0
5,1973985966814867498,2025-10-03 5:38:24,2025-10-03,Azizah Nuraini,AzizahNuraai,netral,Program MBG bekerja sama dengan penyedia bahan pangan lokal.,0,0,0,0
6,1973985972145819679,2025-10-03 5:38:25,2025-10-03,Egi Kuntadi,egkntadi,netral,Setiap sekolah wajib melaporkan data pelaksanaan program setiap minggu.,0,0,0,0
8,1973986152123379967,2025-10-03 5:39:08,2025-10-03,𝐰𝐞𝐩𝐞🌻,wepe20_,positif,Program MBG adalah solusi yang sangat bermanfaat! 😍,0,0,0,0
9,1973986185782648930,2025-10-03 5:39:16,2025-10-03,Citra Melati Jelita,citramlti,positif,Keren banget! Semoga Program MBG terus memberi manfaat bagi masyarakat.,0,0,0,0
10,1973986215943942435,2025-10-03 5:39:23,2025-10-03,Bibi_Lee,PamanLee89,negatif,Kondisi ini terasa lebih toksik daripada perdebatan seputar Program MBG itu sendiri.,0,0,0,0
11,1973986227901903014,2025-10-03 5:39:26,2025-10-03,Faisal Haris,haris_fais93568,negatif,"DPR mengkritik Program MBG karena target penyalurannya dinilai masih jauh dari harapan, terutama untuk daerah 3T yang membutuhkan perhatian serius.",0,0,0,0
12,1973986227805376876,2025-10-03 5:39:26,2025-10-03,Bahira Ayu Zahara,ayuzahrabahira,positif,Program MBG menunjukkan kontribusi nyata dalam mencerdaskan bangsa. Semoga terus berlanjut dan semakin berkembang.,0,0,0,0
13,1973986251188654192,2025-10-03 5:39:31,2025-10-03,Radio Suara Surabaya,e100ss,netral,Perum Bulog menyiapkan beras berkualitas untuk mendukung kelancaran pelaksanaan Program MBG di berbagai daerah.,0,0,0,0
14,1973986265499677017,2025-10-03 5:39:35,2025-10-03,🐈‍⬛ | kinda ia,leunchae,negatif,Menu MBG hari ini hanya burger berisi ayam tepung dan bakwan. Sulit dipercaya bahwa makanan seperti ini dianggap cukup bergizi untuk mengatasi masalah stunting.,0,1,0,0
15,1973986277986128324,2025-10-03 5:39:38,2025-10-03,zaki ramadhan,zakiramadhan_2,positif,Kelolosan dapur umum MBG dalam sertifikasi membuktikan bahwa standar kualitas makanan diperhatikan dan dijaga secara konsisten.,0,0,0,0
16,1973986287494574444,2025-10-03 5:39:40,2025-10-03,Zaki Rudiansah,ZakiRudiansah,netral,Dapur umum penyedia makanan untuk Program MBG wajib memiliki sertifikasi resmi agar pelaksanaan program tetap sesuai standar dan tidak asal jalan.,0,0,0,0
17,1973986286584352848,2025-10-03 5:39:40,2025-10-03,yahya setya,yahyasetya5,netral,Tidak boleh ada kompromi dalam pelaksanaan MBG. Semua dapur umum harus memenuhi standar sertifikasi agar kualitas program tetap terjamin.,0,0,0,0
18,1973986300706631891,2025-10-03 5:39:43,2025-10-03,Gillank,gillankperdhana,negatif,Program MBG ini benar-benar terasa seperti racun yang menyebar cepat—kombinasi masalahnya seperti radioaktif.,0,0,0,0
20,1973986344168010106,2025-10-03 5:39:53,2025-10-03,Priscilla Sonya,prsclsonya,positif,"Kalau tiap SPPG bisa serap tenaga kerja, berarti   punya multiplier effect. #mbg #. https://t.co/c7iT9J1HoR",0,0,0,0
21,1973986340292473176,2025-10-03 5:39:53,2025-10-03,Bunga Amelia,Bungsmelias,netral,Program MBG jadi contoh kebijakan publik berbasis data.   udah nyediain buktinya. #mbg #. https://t.co/R5UrLyVFaK,0,0,0,0
23,1973986351407378907,2025-10-03 5:39:55,2025-10-03,maulanasupri,maulanasupri0,positif,SPPG nunjukkin sistem kerja yang jelas.   udah buktiin itu lewat program MBG. #mbg #. https://t.co/Lu6dMsfaMu,0,0,0,0
24,1973986355912061228,2025-10-03 5:39:56,2025-10-03,Wisnu Fahmi,wisnufhm,netral,"Kalau model   berhasil, program MBG bisa jadi blueprint nasional. #mbg #. https://t.co/PSBFLddpLK",0,0,0,0
25,1973986353600999496,2025-10-03 5:39:56,2025-10-03,Rizki Aidan,rizki_aidan,negatif,"Kalau kualitas makanan MBG cuma begini, mending nggak usah dipaksakan deh. Banyak anak yang malah sakit perut setelah makan.",0,0,0,0
26,1973986363294036385,2025-10-03 5:39:58,2025-10-03,Dewi Wulansari,dwulandaarii,netral,"SPPG adalah titik awal. Di   sudah ada 24, dan efeknya langsung ke tenaga kerja. #mbg #. https://t.co/gTrJD0DVCv",0,0,0,0
27,1973986361050062857,2025-10-03 5:39:58,2025-10-03,Zahra Anisa,ZahhraAnisaa,netral,Program MBG   bukan sekadar janji. Serapan tenaga kerja udah mulai kejadian. #mbg #. https://t.co/wZK8ReHcz6,0,0,0,0
