Sentimen_Title,text
negatif,program makan gizi gratis kacau distribusi bagi
netral,kepala badan gizi nasional program makan gizi gratis jalan perintah henti presiden prabowo badan gizi nasional evaluasi sistem
netral,program makan gizi gratis selaras isu sehat ekonomi masyarakat
netral,program makan gizi gratis terap sekolah
netral,satu layan penuh gizi distribusi makan pusat gerak ekonomi
netral,program makan gizi gratis sedia bahan pangan lokal
netral,sekolah wajib lapor data laksana program minggu
positif,program makan gizi gratis solusi manfaat
positif,keren banget moga program makan gizi gratis manfaat masyarakat
negatif,kondisi toksik debat putar program makan gizi gratis
negatif,dewan wakil rakyat kritik program makan gizi gratis target salur nilai harap daerah t butuh perhati serius
positif,program makan gizi gratis kontribusi nyata cerdas bangsa moga lanjut kembang
netral,perum bulog beras kualitas dukung lancar laksana program makan gizi gratis daerah
negatif,menu makan gizi gratis burger isi ayam tepung bakwan sulit percaya makan anggap gizi atas stunting
positif,lolos dapur makan gizi gratis sertifikasi bukti standar kualitas makan perhati jaga konsisten
netral,dapur sedia makan program makan gizi gratis wajib milik sertifikasi resmi laksana program sesuai standar jalan
netral,kompromi laksana makan gizi gratis dapur penuh standar sertifikasi kualitas program jamin
negatif,program makan gizi gratis racun sebar cepat kombinasi radioaktif
positif,satu layan penuh gizi serap tenaga kerja multiplier effect
netral,program makan gizi gratis contoh bijak publik bas data nyediain bukti
positif,satu layan penuh gizi nunjukkin sistem kerja bukti program makan gizi gratis
netral,model hasil program makan gizi gratis blueprint nasional
negatif,kualitas makan makan gizi gratis mending paksa deh anak sakit perut makan
netral,satu layan penuh gizi titik efek langsung tenaga kerja
netral,program makan gizi gratis janji serap tenaga kerja jadi
negatif,kualitas makan makan gizi gratis mending paksa deh anak sakit perut makan
negatif,program makan gizi gratis atur ya anak pulang lapar makan habis duluan
netral,menteri sehat tri sehat budi gunadi sadikin berat badan siswa terima manfaat makan gizi gratis makan gizi gratis ukur enam baca
negatif,anggar makan gizi gratis hasil transparansi minim dana pakai
negatif,woi pigai makan tuh makan gizi gratis racun komplain ya
positif,wow makan gizi gratis sukses manfaat anak bangsa
netral,sertifikat bukti kerja serius jargon dapur makan gizi gratis wajib
netral,dapur makan gizi gratis sertifikat laik higiene sanitasi risiko sakit akibat makan tekan
netral,haccp dapur makan gizi gratis milik deteksi risiko pangan
negatif,makan gratis murid sekolah indonesia kerja ai
positif,gila moga sukses ya makan gizi gratis manfaat ajar
netral,anak anak indonesia hak makan sehat aman hak jamin hidup takut racun makan bilang racun makan gizi gratis langgar ham korslet otak
negatif,program dicebokin program hak warga pangan kualitas sehat mudah jangkau penuh perintah bahan pokok makan gizi gratis bawa korban perintah peduli
positif,satu layan penuh gizi infrastruktur bukti kolaborasi jalan
positif,program makan gizi gratis nunjukkin efek domino anak sehat ekonomi tumbuh kerja
positif,program makan gizi gratis bilang sustainable asih kerja bantu
positif,kolaborasi strategis perum bulog badan gizi nasional badan gizi nasional kuat jamin kualitas bahan baku program makan gizi gratis makan gizi gratis sinergi fokus sedia beras baik hasil program gizi nasional
negatif,tambah korban racun makan gizi gratis garut capai orang kompas siang
negatif,stop makan gizi gratis duka cita korban racun makan gizi gratis
netral,no kompromi sertifikasi tameng dapur makan gizi gratis potensi
netral,sertifikat halal jaga percaya masyarakat makan gizi gratis
netral,dapur makan gizi gratis milik sertifikat biar program tahan uji audit publik
negatif,gratis gizi nyata siswa bawa bekal makan gizi gratis layak makan
negatif,lihat menu kadang gizi nasi kuah doang gizi formalitas
positif,makan gizi gratis lanjut juang edukasi
netral,tri sehat budi gunadi sadikin cepat terbit sertifikat laik higiene sanitasi dapur satu layan penuh gizi program makan gizi gratis tri sehat koordinasi sederhana proses sertifikat terbit terbit sertifikat laik higiene sanitasi prioritas ribu satu layan penuh gizi operasi
netral,budi cepat jamin bersih aman pangan saji terima manfaat makan gizi gratis rapat kerja komisi ix dewan wakil rakyat ri senayan jakarta rabu
negatif,makan gizi gratis ya asam lambung
netral,epaper erakini jum at oktober terpa program makan gizi gratis lanjut
negatif,maaf anak kena dampak racun makan gizi gratis
negatif,makan gizi gratis aneh
positif,dukung makan gizi gratis solusi baik
netral,sertifikat formalitas mekanisme proteksi dapur makan gizi gratis wajib
netral,sertifikat laik higiene sanitasi bikin standar sanitasi dapur makan gizi gratis patuh
netral,dapur makan gizi gratis sertifikasi risiko langsung terima
negatif,muncul akibat proyek makan gizi gratis proyek
netral,satu layan penuh gizi nunjukkin bijak butuh struktur eksekusi bareng makan gizi gratis
netral,program makan gizi gratis hasil gabungin isu gizi tenaga kerja paket
netral,program makan gizi gratis template bijak inovatif
netral,program makan gizi gratis kasih insight efek sosial ekonomi jalan bareng
positif,satu layan penuh gizi tambah tenaga kerja serap bukti
positif,satu layan penuh gizi jalan kerja jalan bukti program makan gizi gratis teori
netral,tenaga kerja indikator serius ukur efektivitas program makan gizi gratis
negatif,makan gizi gratis curiga
netral,haccp kontrol titik proses dapur makan gizi gratis
positif,halal fondasi terima luas dapur makan gizi gratis milik
negatif,lemes makan gizi gratis anjir
netral,dapur makan gizi gratis duli masakan makan siswa masak bayar badan gizi nasional
positif,mantul habis sukses makan gizi gratis moga manfaat siswa
negatif,menu konsisten bagus besok kacau
negatif,management makan gizi gratis beranta masak malam saji siang masak pagi saji siang sayang kelola alam catering tenaga kerja alat alat prngawasan rombak kelola
positif,idola banget deh makan gizi gratis lanjut misi keren anak anak ajar
positif,kepala badan gizi nasional dad alat rapid test cegah racun makan gizi gratis terap satu layan penuh gizi polri
negatif,tolong banget tuh makan gizi gratis warga bego ya
negatif,makan kadang bau warna wajar
negatif,ruwet serah posyandu pakai makan gizi gratis
negatif,covid bencana nasional makan gizi gratis bencana nasional lihat korban jatuh kaleng ya wajar kategori ratus nampan makan tolak lendir bau gizi solusi racun massal
netral,sertifikat penuh dapur makan gizi gratis standar emas aman pangan
positif,sertifikat laik higiene sanitasi pasti bersih haccp pasti kontrol risiko halal pasti terima
negatif,perintah prabowo ber usaha buat rkyatnya hrgailah wlu sdikit program makan gizi gratis oknum mnusia bjat mngmbil ksempatan buat jhat mnjatuhkan image prabowo sprtinya tanam prmusuhan kbencian curiga pribumi
negatif,makan belatung gratis makan gizi gratis busuk
negatif,ajar tasikmalaya rawat alami gejala racun konsumsi makan gizi gratis
negatif,puan maharani tekan evaluasi program makan gizi gratis makan gizi gratis
negatif,makan buang layak makan
netral,nama parameter hasil kocak noh siswa penuh gizi makan gizi gratis ya sehat cek status gizi hasil asih doang plek ketiplek kagak urus penuh gizi kocak blukutuk
negatif,saji asal higienis
positif,super banget makan gizi gratis manfaat siswa
negatif,makan gizi gratis program tolol tuju bancanakan prabowo kroni
positif,makan gizi gratis bikin harap konsisten ya
positif,sertifikat beban investasi jangka dapur makan gizi gratis
netral,dapur makan gizi gratis sertifikat rawan jamin resmi
negatif,bawa baik makan gizi gratis dampak negatif masyarakat main orang orang dewan wakil rakyat dewan wakil rakyat daerah aduh masyarakat kasihan
negatif,makan gizi gratis kontollll kepala badan gizi nasional kontoll tender kontoll lo nikmat proyek makan gizi gratis kayak kontolllll moga anak racun ya anjinggg
positif,dapur makan gizi gratis sertifikat publik was was aman
netral,sertifikat halal tawar identitas dapur makan gizi gratis
netral,dapur makan gizi gratis milik sertifikat biar standar kontrol hulu hilir
negatif,badan gizi nasional badan gizi nasional catat ribu sembilan ratus korban racun program makan gizi gratis makan gizi gratis jatuh januari september racun sebab langgar standar operasional prosedur sop jadi sop
negatif,imho om makan gizi gratis bagus pola saji higienis racun upaya hilang trauma trauma anak anak pendek ajar dampak lekat individu kuat makan gizi gratis
